ID,SMILES
1,c1c(C(=O)N[C@H]2C[C@@H](O)[C@@H](O)NC(=O)[C@H]3N(C[C@H](C)[C@@H]3O)C(=O)[C@H]([C@H](O)C)NC(=O)[C@H]([C@H](O)[C@H](c3ccc(O)cc3)O)NC(=O)[C@H]3N(C(=O)[C@H]([C@H](O)C)NC2=O)C[C@H](O)C3)ccc(-c2ccc(-c3ccc(OCCCCC)cc3)cc2)c1
1,c1c(C(N[C@@H]2C(=O)N[C@@H]([C@H](O)C)C(=O)N3C[C@H](O)C[C@H]3C(=O)N[C@@H]([C@@H]([C@H](c3ccc(O)cc3)O)O)C(=O)N[C@@H]([C@@H](C)O)C(=O)N3[C@@H]([C@@H](O)[C@@H](C)C3)C(=O)N[C@H](O)[C@H](O)C2)=O)ccc(-c2ccc(-c3ccc(OCCCCC)cc3)cc2)c1
1,N12C[C@H](C)[C@H](O)[C@H]1C(=O)N[C@H](O)[C@H](O)C[C@H](NC(=O)c1ccc(-c3ccc(-c4ccc(OCCCCC)cc4)cc3)cc1)C(=O)N[C@@H]([C@@H](C)O)C(=O)N1C[C@H](O)C[C@H]1C(=O)N[C@@H]([C@@H]([C@H](c1ccc(O)cc1)O)O)C(=O)N[C@@H]([C@@H](C)O)C2=O
1,C(CC)CCOc1ccc(-c2ccc(-c3ccc(C(N[C@H]4C[C@@H](O)[C@@H](O)NC(=O)[C@@H]5[C@@H](O)[C@@H](C)CN5C(=O)[C@H]([C@@H](C)O)NC(=O)[C@H]([C@H](O)[C@H](c5ccc(O)cc5)O)NC(=O)[C@@H]5C[C@@H](O)CN5C(=O)[C@H]([C@H](O)C)NC4=O)=O)cc3)cc2)cc1
1,Oc1ccc([C@H](O)[C@H]([C@@H]2NC(=O)[C@H]3N(C[C@H](O)C3)C(=O)[C@H]([C@H](O)C)NC(=O)[C@@H](NC(=O)c3ccc(-c4ccc(-c5ccc(OCCCCC)cc5)cc4)cc3)C[C@@H](O)[C@@H](O)NC(=O)[C@@H]3[C@@H](O)[C@@H](C)CN3C(=O)[C@H]([C@H](O)C)NC2=O)O)cc1
1,C1(=O)[C@H]([C@H](O)C)NC(=O)[C@H]([C@@H]([C@H](c2ccc(O)cc2)O)O)NC(=O)[C@H]2N(C[C@H](O)C2)C(=O)[C@H]([C@@H](C)O)NC(=O)[C@@H](NC(c2ccc(-c3ccc(-c4ccc(OCCCCC)cc4)cc3)cc2)=O)C[C@@H](O)[C@@H](O)NC(=O)[C@@H]2[C@@H](O)[C@@H](C)CN12
1,c1(-c2ccc(-c3ccc(C(N[C@H]4C[C@@H](O)[C@@H](O)NC(=O)[C@@H]5[C@@H](O)[C@@H](C)CN5C(=O)[C@H]([C@H](O)C)NC(=O)[C@H]([C@H](O)[C@@H](O)c5ccc(O)cc5)NC(=O)[C@@H]5C[C@@H](O)CN5C(=O)[C@H]([C@H](O)C)NC4=O)=O)cc3)cc2)ccc(OCCCCC)cc1
1,[C@H]1(O)[C@@H](C)CN2C(=O)[C@H]([C@H](O)C)NC(=O)[C@H]([C@@H]([C@H](c3ccc(O)cc3)O)O)NC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@H]([C@@H](C)O)NC(=O)[C@@H](NC(c3ccc(-c4ccc(-c5ccc(OCCCCC)cc5)cc4)cc3)=O)C[C@@H](O)[C@@H](O)NC(=O)[C@H]12
1,c1cc(O)ccc1[C@H](O)[C@@H](O)[C@H]1C(=O)N[C@@H]([C@@H](C)O)C(=O)N2C[C@H](C)[C@H](O)[C@H]2C(=O)N[C@H](O)[C@H](O)C[C@H](NC(c2ccc(-c3ccc(-c4ccc(OCCCCC)cc4)cc3)cc2)=O)C(=O)N[C@@H]([C@H](O)C)C(=O)N2[C@@H](C[C@@H](O)C2)C(=O)N1
1,c1(C(N[C@@H]2C(=O)N[C@@H]([C@@H](C)O)C(=O)N3[C@@H](C[C@@H](O)C3)C(=O)N[C@@H]([C@H](O)[C@@H](O)c3ccc(O)cc3)C(=O)N[C@@H]([C@H](O)C)C(=O)N3[C@@H]([C@@H](O)[C@@H](C)C3)C(=O)N[C@H](O)[C@H](O)C2)=O)ccc(-c2ccc(-c3ccc(OCCCCC)cc3)cc2)cc1
1,O[C@@H](c1ccc(O)cc1)[C@@H](O)[C@@H]1NC(=O)[C@H]2N(C(=O)[C@H]([C@@H](C)O)NC(=O)[C@@H](NC(=O)c3ccc(-c4ccc(-c5ccc(OCCCCC)cc5)cc4)cc3)C[C@@H](O)[C@@H](O)NC(=O)[C@@H]3[C@@H](O)[C@@H](C)CN3C(=O)[C@H]([C@H](O)C)NC1=O)C[C@H](O)C2
1,O[C@@H](c1ccc(O)cc1)[C@H]([C@@H]1NC(=O)[C@H]2N(C(=O)[C@H]([C@@H](C)O)NC(=O)[C@@H](NC(=O)c3ccc(-c4ccc(-c5ccc(OCCCCC)cc5)cc4)cc3)C[C@@H](O)[C@@H](O)NC(=O)[C@@H]3[C@@H](O)[C@@H](C)CN3C(=O)[C@H]([C@H](O)C)NC1=O)C[C@H](O)C2)O
1,O[C@H](C)[C@@H]1NC(=O)[C@H]([C@@H]([C@H](c2ccc(O)cc2)O)O)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@H]([C@H](O)C)NC(=O)[C@@H](NC(=O)c2ccc(-c3ccc(-c4ccc(OCCCCC)cc4)cc3)cc2)C[C@@H](O)[C@@H](O)NC(=O)[C@@H]2[C@@H](O)[C@@H](C)CN2C1=O
1,N1[C@@H]([C@H](O)C)C(=O)N2[C@@H](C[C@@H](O)C2)C(=O)N[C@@H]([C@H](O)[C@H](c2ccc(O)cc2)O)C(=O)N[C@@H]([C@H](O)C)C(=O)N2[C@H](C(=O)N[C@H](O)[C@H](O)C[C@H](NC(c3ccc(-c4ccc(-c5ccc(OCCCCC)cc5)cc4)cc3)=O)C1=O)[C@@H](O)[C@@H](C)C2
1,[C@@H](c1ccc(O)cc1)(O)[C@@H](O)[C@@H]1NC(=O)[C@H]2N(C[C@H](O)C2)C(=O)[C@H]([C@@H](C)O)NC(=O)[C@@H](NC(=O)c2ccc(-c3ccc(-c4ccc(OCCCCC)cc4)cc3)cc2)C[C@@H](O)[C@@H](O)NC(=O)[C@H]2N(C[C@H](C)[C@@H]2O)C(=O)[C@H]([C@H](O)C)NC1=O
1,c1c(-c2ccc(OCCCCC)cc2)ccc(-c2ccc(C(N[C@H]3C[C@@H](O)[C@@H](O)NC(=O)[C@H]4N(C(=O)[C@H]([C@@H](C)O)NC(=O)[C@H]([C@H](O)[C@@H](O)c5ccc(O)cc5)NC(=O)[C@@H]5C[C@@H](O)CN5C(=O)[C@H]([C@H](O)C)NC3=O)C[C@H](C)[C@@H]4O)=O)cc2)c1
1,c1cc(-c2ccc(OCCCCC)cc2)ccc1-c1ccc(C(N[C@@H]2C(=O)N[C@@H]([C@H](O)C)C(=O)N3[C@H](C(=O)N[C@@H]([C@H](O)[C@@H](O)c4ccc(O)cc4)C(=O)N[C@@H]([C@@H](C)O)C(=O)N4C[C@H](C)[C@H](O)[C@H]4C(=O)N[C@H](O)[C@H](O)C2)C[C@@H](O)C3)=O)cc1
1,[C@H]1(O)[C@@H](C)CN2[C@@H]1C(=O)N[C@H](O)[C@H](O)C[C@H](NC(c1ccc(-c3ccc(-c4ccc(OCCCCC)cc4)cc3)cc1)=O)C(=O)N[C@@H]([C@@H](C)O)C(=O)N1[C@@H](C[C@@H](O)C1)C(=O)N[C@@H]([C@@H]([C@@H](O)c1ccc(O)cc1)O)C(=O)N[C@@H]([C@H](O)C)C2=O
1,C(CCOc1ccc(-c2ccc(-c3ccc(C(N[C@@H]4C(=O)N[C@@H]([C@H](O)C)C(=O)N5[C@@H](C[C@@H](O)C5)C(=O)N[C@@H]([C@H](O)[C@H](c5ccc(O)cc5)O)C(=O)N[C@@H]([C@H](O)C)C(=O)N5C[C@H](C)[C@H](O)[C@H]5C(=O)N[C@H](O)[C@H](O)C4)=O)cc3)cc2)cc1)CC
1,C1(=O)[C@H]([C@H](O)[C@H](c2ccc(O)cc2)O)NC(=O)[C@H]2N(C(=O)[C@H]([C@H](O)C)NC(=O)[C@@H](NC(=O)c3ccc(-c4ccc(-c5ccc(OCCCCC)cc5)cc4)cc3)C[C@@H](O)[C@@H](O)NC(=O)[C@@H]3[C@@H](O)[C@@H](C)CN3C(=O)[C@H]([C@@H](C)O)N1)C[C@H](O)C2
1,O[C@H]([C@H]([C@H]1C(=O)N[C@@H]([C@H](O)C)C(=O)N2C[C@H](C)[C@H](O)[C@H]2C(=O)N[C@H](O)[C@H](O)C[C@H](NC(c2ccc(-c3ccc(-c4ccc(OCCCCC)cc4)cc3)cc2)=O)C(=O)N[C@@H]([C@H](O)C)C(=O)N2[C@H](C(=O)N1)C[C@@H](O)C2)O)c1ccc(O)cc1
2,NCCCC[C@@H]1NC(=O)[C@@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](c2ccccc2)NC(=O)[C@@H]2C[C@@H](OC(=O)NCCN)CN2C(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](Cc2ccc(OCc3ccccc3)cc2)NC1=O
2,[nH]1cc(C[C@@H]2C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](Cc3ccc(OCc4ccccc4)cc3)C(=O)N[C@@H](Cc3ccccc3)C(=O)N3[C@@H](C[C@@H](OC(NCCN)=O)C3)C(=O)N[C@@H](c3ccccc3)C(=O)N2)c2ccccc12
2,[C@@H]1(c2ccccc2)NC(=O)[C@@H]2C[C@@H](OC(=O)NCCN)CN2C(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](Cc2ccc(OCc3ccccc3)cc2)NC(=O)[C@H](CCCCN)NC(=O)[C@@H](Cc2c[nH]c3ccccc32)NC1=O
2,c1ccccc1[C@H]1C(=O)N[C@H](Cc2c3c([nH]c2)cccc3)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](Cc2ccc(OCc3ccccc3)cc2)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2C[C@H](OC(=O)NCCN)C[C@H]2C(=O)N1
2,c1c(C[C@H]2C(=O)N[C@@H](Cc3ccccc3)C(=O)N3C[C@H](OC(=O)NCCN)C[C@H]3C(=O)N[C@@H](c3ccccc3)C(=O)N[C@H](Cc3c4ccccc4[nH]c3)C(=O)N[C@@H](CCCCN)C(=O)N2)ccc(OCc2ccccc2)c1
2,C(CNC(=O)O[C@@H]1C[C@H]2C(=O)N[C@@H](c3ccccc3)C(=O)N[C@H](Cc3c[nH]c4c3cccc4)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](Cc3ccc(OCc4ccccc4)cc3)C(=O)N[C@@H](Cc3ccccc3)C(=O)N2C1)N
2,c1cc([C@H]2C(=O)N[C@H](Cc3c4ccccc4[nH]c3)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](Cc3ccc(OCc4ccccc4)cc3)C(=O)N[C@@H](Cc3ccccc3)C(=O)N3[C@@H](C[C@@H](OC(=O)NCCN)C3)C(=O)N2)ccc1
2,c1cc2c(C[C@@H]3C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](Cc4ccc(OCc5ccccc5)cc4)C(=O)N[C@@H](Cc4ccccc4)C(=O)N4[C@@H](C[C@@H](OC(=O)NCCN)C4)C(=O)N[C@@H](c4ccccc4)C(=O)N3)c[nH]c2cc1
